seedId,parkName,organizationName,displayName,entityRole,summary,website,industryTags,productsServices,capabilities,cooperationNeeds,publicContact,isPublic,primaryIndustryCode,primaryIndustryName,industryClassificationBasis,industryConfirmedByCompany,officeAddress,parkRelationStatus,parkEvidence,parkSourceUrl,profileSourceUrl,sourcePublishedAt,retrievedAt,includeInDemo,dataOrigin,notes,addressType
bhc-demo-001,北控宏创科技园,北京北控宏创科技有限公司,北控宏创,park_operator,北控宏创科技园的开发与运营主体，提供园区运营及企业服务。,https://www.behhc.com/,"[""园区运营服务"", ""科技企业孵化""]","[""园区运营"", ""企业孵化服务""]",[],[],010-57325888 / 010-57325999,false,park_services,园区运营服务,researcher_classified_from_public_business,false,北京市昌平科技园区超前路甲1号北控宏创科技园11号楼1层,official_contact_address,北京市昌平科技园区超前路甲1号北控宏创科技园11号楼1层,https://www.behhc.com/col.jsp?id=102,https://www.behhc.com/,,2026-09-08,false,public_web_research,园区运营方，默认不混入普通企业关系图；可供园区基本信息初始化。,public_contact
bhc-demo-002,北控宏创科技园,盈科视控（北京）科技有限公司,盈科视控,enterprise,提供数字化工厂智能物流、仓储与自动化搬运解决方案。,https://www.wiiss.com/,"[""工业自动化与机器人"", ""智能物流"", ""数字孪生""]","[""智能仓储与搬运"", ""数字孪生平台""]",[],[],010-56232404；sales@wiiss.com,false,industrial_automation,工业自动化与机器人,researcher_classified_from_public_business,false,北京市昌平区北控宏创科技园区15号楼801室,official_contact_address,北京市昌平区北控宏创科技园区15号楼801室,https://www.wiiss.com/lxwm.html,https://www.wiiss.com/,,2026-09-08,true,public_web_research,官网标注北京总部及软件研发中心。,public_contact
bhc-demo-003,北控宏创科技园,广网数据服务（北京）有限公司,广网数据,enterprise,运营北控数据中心，提供服务器托管和互联网服务。,https://www.gonn0101.com.cn/,"[""软件与信息技术服务"", ""数据中心"", ""服务器托管""]","[""服务器托管"", ""数据中心服务""]",[],[],010-56337666,false,it_services,软件与信息技术服务,researcher_classified_from_public_business,false,北京市昌平区超前路甲1号北控宏创科技园9号楼,official_contact_address,北京市昌平区超前路甲1号北控宏创科技园9号楼,https://www.gonn0101.com.cn/,https://www.gonn0101.com.cn/,,2026-09-08,true,public_web_research,官网联系地址与北控数据中心机房位置一致。 2016园区历史资料出现“广网互联（北京）数据服务有限公司”；未核实更名关系，本数据仅采用现官网主体，不重复创建历史名称。,public_contact
bhc-demo-004,北控宏创科技园,北京航研射频科技有限公司,航研射频,enterprise,研发生产射频电缆组件、同轴连接器和射频无源器件。,https://www.hyrftech.com/,"[""电子与通信设备"", ""射频器件"", ""同轴连接器""]","[""射频电缆组件"", ""同轴连接器"", ""射频无源器件""]",[],[],010-57325027；sales@hyrftech.com,false,electronics_communications,电子与通信设备,researcher_classified_from_public_business,false,北京市昌平区超前路甲1号北控宏创科技园11号楼7层,official_contact_address,北京市昌平区超前路甲1号北控宏创科技园11号楼7层,https://hyrftech.com/hykj/,https://www.hyrftech.com/,,2026-09-08,true,public_web_research,公司简介列明园区地址；页面未注明更新时间。,public_contact
bhc-demo-005,北控宏创科技园,联众集群（北京）科技有限责任公司,联众集群,enterprise,提供服务器、高性能计算工作站、存储设备和集群软件。,https://www.linkzol.com/,"[""电子与通信设备"", ""服务器"", ""高性能计算""]","[""GPU服务器"", ""高性能计算工作站"", ""存储服务器""]",[],[],400-630-7530；sales@linkzol.com,false,electronics_communications,电子与通信设备,researcher_classified_from_public_business,false,北京市昌平区科技园区超前路甲1号6号楼7层701室,official_contact_address,北京市昌平区科技园区超前路甲1号6号楼7层701室,https://www.linkzol.com/pro.asp?classid=4,https://www.linkzol.com/pro.asp?classid=4,,2026-09-08,true,public_web_research,,public_contact
bhc-demo-006,北控宏创科技园,北京杰创永恒科技有限公司,杰创永恒,enterprise,面向高校和职业院校提供电子电路实验与智能硬件实训产品。,https://www.bj-jc.com/,"[""教育教学设备"", ""电子实验"", ""实训平台""]","[""STM32与FPGA口袋机"", ""电子电路实验平台"", ""智能硬件实训平台""]",[],[],010-63860679；Sales@bj-jc.net,false,education_equipment,教育教学设备,researcher_classified_from_public_business,false,北京市昌平区科技园区超前路甲1号17号楼5层,official_contact_address,北京市昌平区科技园区超前路甲1号17号楼5层,https://www.bj-jc.com/lxwm,https://www.bj-jc.com/,,2026-09-08,true,public_web_research,官网标注北京总部；地址原文重复“北京市”，本字段已规范化。,public_contact
bhc-demo-007,北控宏创科技园,北京圣钧科技发展有限公司,圣钧科技,enterprise,提供工业通信设备、协议转换器与PCM综合复用设备。,https://www.shengjunkj.com/,"[""电子与通信设备"", ""工业通信"", ""协议转换""]","[""协议转换器"", ""工业级通信设备"", ""PCM综合复用设备""]",[],[],010-57325036,false,electronics_communications,电子与通信设备,researcher_classified_from_public_business,false,北京市昌平区科技园区超前路甲1号北控宏创科技园7号楼3层,official_contact_address,北京市昌平区科技园区超前路甲1号北控宏创科技园7号楼3层,https://www.shengjunkj.com/,https://www.shengjunkj.com/,,2026-09-08,true,public_web_research,,public_contact
bhc-demo-008,北控宏创科技园,北京清晖翔科技有限公司,清晖翔,enterprise,提供电能质量治理、储能及微网与多能互补方案。,https://www.titee.com.cn/,"[""能源技术"", ""电能质量"", ""储能"", ""微网""]","[""电能质量治理"", ""储能系统"", ""微网解决方案""]",[],[],010-57325766；market@thxenergy.com.cn,false,energy_technology,能源技术,researcher_classified_from_public_business,false,北京市昌平区超前路甲1号北控宏创科技园11号楼502,official_contact_address,北京市昌平区超前路甲1号北控宏创科技园11号楼502,https://www.titee.com.cn/,https://www.titee.com.cn/,,2026-09-08,true,public_web_research,,public_contact
bhc-demo-009,北控宏创科技园,北京清博华科技有限公司,清博华,enterprise,研发生产液相色谱仪器及核心部件。,https://www.prehplc.com/,"[""分析与生命科学仪器"", ""液相色谱"", ""仪器核心部件""]","[""分析液相色谱仪"", ""制备液相色谱仪"", ""泵阀模块"", ""色谱软件""]",[],[],010-62966298 / 010-57325030；sale@prehplc.com,false,analytical_instruments,分析与生命科学仪器,researcher_classified_from_public_business,false,北京市昌平区超前路甲一号北控宏创科技园3号楼7层,official_contact_address,北京市昌平区超前路甲一号北控宏创科技园3号楼7层,https://www.prehplc.com/contact.html,https://www.prehplc.com/aboutus.html,,2026-09-08,true,public_web_research,,public_contact
bhc-demo-010,北控宏创科技园,北京企安安科技有限公司,企安安,enterprise,提供残疾人招聘、培训管理及企业相关政策咨询服务。,https://www.qanan.cn/,"[""人力资源与企业服务"", ""残疾人就业"", ""企业管理平台""]","[""残疾人招聘与培训管理"", ""残保金政策咨询"", ""残疾人综合管理平台""]",[],[],support@qanan.cn,false,business_services,人力资源与企业服务,researcher_classified_from_public_business,false,北京市昌平区超前路甲1号北控宏创科技园13号楼6层611,official_contact_address,北京市昌平区超前路甲1号北控宏创科技园13号楼6层611,https://www.qanan.cn/about-us/,https://www.qanan.cn/about-us/,,2026-09-08,true,public_web_research,,public_contact
bhc-demo-011,北控宏创科技园,北京金钢科技有限公司,金钢科技,enterprise,提供机器人编码器、触觉舵机及小机器人产品。,https://kingkong.tech/,"[""工业自动化与机器人"", ""编码器"", ""机器人部件""]","[""磁编码器"", ""触觉舵机"", ""小机器人""]",[],[],010-80111669；contact@kingkong.tech,false,industrial_automation,工业自动化与机器人,researcher_classified_from_public_business,false,北京市昌平区科技园区超前路甲1号17号楼2层,official_document_address,北京市昌平区科技园区超前路甲1号17号楼2层,https://kingkong.tech/files/MBS%E7%A3%81%E7%BC%96%E7%A0%81%E5%99%A8%E6%95%B0%E6%8D%AE%E6%89%8B%E5%86%8Cv2.6.pdf,https://kingkong.tech/,,2026-09-08,true,public_web_research,地址来自官网产品手册；手册发布日期未知。,public_contact
bhc-demo-012,北控宏创科技园,北京市特智诚科技有限公司,特智诚,enterprise,运营旅游年票相关服务，提供京津冀旅游年卡与旅游会员服务。,https://www.bjlynp.com/,"[""旅游服务"", ""旅游年卡"", ""景区合作""]","[""京津冀旅游年卡"", ""旅游会员服务""]",[],[],400-0606-032；bjlynp@163.com,false,tourism_services,旅游服务,researcher_classified_from_public_business,false,北京市中关村科技园区昌平园超前路甲1号10号楼406,official_contact_address,北京市中关村科技园区昌平园超前路甲1号10号楼406,https://www.bjlynp.com/html/lxwm/index.html,https://www.bjlynp.com/html/lxwm/index.html,,2026-09-08,true,public_web_research,采用旅游年票网公开运营主体名称，不将协会主办方作为该企业。,public_contact
bhc-demo-013,北控宏创科技园,北京昆仑隆源石油开采技术有限公司,昆仑隆源,enterprise,研发生产油气勘探开发材料。,https://www.longyuanoil.com/,"[""油气技术与材料"", ""压裂支撑剂"", ""覆膜石英砂""]","[""压裂支撑剂"", ""覆膜石英砂""]",[],[],010-57325702；kunlunlongyuan@longyuanoil.com,false,energy_materials,油气技术与材料,researcher_classified_from_public_business,false,北京市昌平区科技园区超前路甲1号15号楼7层,conflicting_location_evidence,北京市昌平区科技园区超前路甲1号15号楼7层,https://longyuanoil.com/index/index/contact.html,https://www.longyuanoil.com/,,2026-09-08,false,public_web_research,官网联系页列园区地址，另有朝阳区企业报道，当前地址角色待核实。搜索发现同域其他路径异常内容，导入前应复核网站。园区2026年政府专题提及其培育关系。,public_contact
bhc-demo-014,北控宏创科技园,大威激光科技有限公司,大威激光,enterprise,研发制造射频CO2激光器与紫外激光器。,https://www.davi-laser.com/,"[""激光与光电设备"", ""激光器""]","[""射频CO2激光器"", ""紫外激光器""]",[],[],info@davi-laser.com,false,optoelectronics,激光与光电设备,researcher_classified_from_public_business,false,北京市昌平区科技园超前路甲1号,beijing_contact_entity_unconfirmed,北京市昌平区科技园超前路甲1号,https://www.davi-laser.com/zh-Hans/contact-us/,https://www.davi-laser.com/zh-Hans/about-us/,,2026-09-08,false,public_web_research,官网列北京联系点，制造基地在太原；该名称为官网主体，北京经营主体全称未确认，不能自动创建北京子公司。,public_contact
bhc-demo-015,北控宏创科技园,北京海精高创科技有限公司,海精高创,enterprise,提供核酸合成仪及相关实验室设备、试剂耗材。,https://hjgc-automation.cn/,"[""分析与生命科学仪器"", ""核酸合成"", ""实验室自动化""]","[""核酸合成仪"", ""氨解仪"", ""纯化移液工作站""]",[],[],010-57325076；sale@hjgc-automation.com,false,analytical_instruments,分析与生命科学仪器,researcher_classified_from_public_business,false,北京市昌平区科技园区超前路甲1号3号楼,multiple_addresses_unresolved,北京市昌平区科技园区超前路甲1号3号楼,https://hjgc-automation.cn/h-col-130.html,https://hjgc-automation.cn/h-col-130.html,,2026-09-08,false,public_web_research,同页另列海淀区杏石口路80号益园文创基地B1一层104；两地址角色未明确。,public_contact
bhc-demo-016,北控宏创科技园,北京丰科卓辰电子技术有限公司,丰科卓辰,enterprise,提供高速存储、光纤存储及协议转换产品与定制开发服务。,https://fkzctech.com/,"[""电子与通信设备"", ""数据存储"", ""协议转换""]","[""高速存储产品"", ""光纤存储产品"", ""协议转换产品""]",[],[],010-57325880,false,electronics_communications,电子与通信设备,researcher_classified_from_public_business,false,北京市昌平区科技园区超前路甲1号6号楼401室,official_contact_address,北京市昌平区科技园区超前路甲1号6号楼401室,https://fkzctech.com/,https://fkzctech.com/,,2026-09-08,true,public_web_research,采用现官网401室；第三方旧目录308室不作为现地址。,public_contact
bhc-demo-017,北控宏创科技园,北京鑫汇迈科生物科技有限公司,鑫汇迈科,enterprise,提供食品、水、饲料及部分卫生用品等微生物检测服务。,https://micro.xhpr.net/,"[""检验检测服务"", ""微生物检测""]","[""食品微生物检测"", ""水质微生物检测"", ""饲料微生物检测""]",[],[],010-57325126,false,testing_services,检验检测服务,researcher_classified_from_public_business,false,北京市中关村科技园区昌平园超前路甲1号5号楼2层,official_contact_address,北京市中关村科技园区昌平园超前路甲1号5号楼2层,https://micro.xhpr.net/,https://micro.xhpr.net/assay.aspx,,2026-09-08,true,public_web_research,官网关于我们说明其为鑫汇普瑞子公司；未将母公司产品和资质直接归到本公司。,public_contact
bhc-demo-018,北控宏创科技园,北京国金源富科技有限公司,国金源富,enterprise,提供电力信息化与物联网产品及解决方案，业务覆盖计量管理和智慧城市。,https://www.suresource.com.cn/,"[""软件与信息技术服务"", ""电力信息化"", ""物联网"", ""RFID""]","[""电网计量智慧平台"", ""RFID物联网产品"", ""智慧城市解决方案""]",[],[],,false,it_services,软件与信息技术服务,researcher_classified_from_public_business,false,北京市昌平区超前路甲一号北控宏创科技园10号楼6层,university_employer_profile_address,北京市昌平区超前路甲一号北控宏创科技园10号楼6层,https://career.cup.edu.cn/company/view/id/315141,https://www.suresource.com.cn/,,2026-09-08,true,public_web_research,地址来自中国石油大学就业平台用人单位页，并获招聘网站园区10号楼地址交叉印证；不是租赁在驻确认。工商注册地址另在未来科学城，未混作办公地址。,public_contact
bhc-demo-019,北控宏创科技园,新羿制造科技（北京）有限公司,新羿制造,enterprise,研发生产全自动数字PCR仪。,,"[""医疗器械"", ""数字PCR"", ""体外诊断""]","[""全自动数字PCR仪""]",[],[],,false,medical_devices,医疗器械,researcher_classified_from_public_business,false,北控宏创科技园（具体楼栋未核实）,government_reported_tenant,2024年政府报道明确将新羿制造称为园区入驻企业。,https://www.beijing.gov.cn/ywdt/gqrd/202403/t20240312_3587129.html,https://yjj.beijing.gov.cn/yjj/zwgk20/yjxw/543519295/index.html,2024-03-12,2026-09-08,true,public_web_research,2024政府报道明确称入驻企业；2026-07-09园区专题仍提及培育关系，但未核实当日租赁在驻状态。官网与联系方式留空。,park_only
