primaryIndustryCode,primaryIndustryName,classificationType
analytical_instruments,分析与生命科学仪器,custom_demo_taxonomy_v1
business_services,人力资源与企业服务,custom_demo_taxonomy_v1
education_equipment,教育教学设备,custom_demo_taxonomy_v1
electronics_communications,电子与通信设备,custom_demo_taxonomy_v1
energy_materials,油气技术与材料,custom_demo_taxonomy_v1
energy_technology,能源技术,custom_demo_taxonomy_v1
industrial_automation,工业自动化与机器人,custom_demo_taxonomy_v1
it_services,软件与信息技术服务,custom_demo_taxonomy_v1
medical_devices,医疗器械,custom_demo_taxonomy_v1
optoelectronics,激光与光电设备,custom_demo_taxonomy_v1
park_services,园区运营服务,custom_demo_taxonomy_v1
testing_services,检验检测服务,custom_demo_taxonomy_v1
tourism_services,旅游服务,custom_demo_taxonomy_v1
